"id","from_user","to_user","message","date","read","deleted"
"Guy &amp; Dunc","2017-05-15 09:57:57","1","0",,,
"2433","1","1848","Hey",,,
"Just a little update and thanks to your feedback. Studio Finder is having a design update.",,,,,,
"You can now add a banner picture to your profile.",,,,,,
"https://voiceoverstudiofinder.com",,,,,,
"And in other news...",,,,,,
"We are tracking even better now on Google for &#039;Studio Finder&#039;. We are TOP of page 1.",,,,,,
"We&#039;d love all profiles to look as good as possible :-)",,,,,,
"Clicking the new &#039;profile creator&#039; allows you an easy way to add to your profile.",,,,,,
"Thank you for being the early adopters of Studio Finder.",,,,,,
"Best wishes",,,,,,
"Guy &amp; Dunc","2017-05-16 13:21:53","1","0",,,
"2434","1","1848","Hey",,,
"Just a little update and thanks to your feedback. Studio Finder is having a design update.",,,,,,
"https://voiceoverstudiofinder.com",,,,,,
"And in other news...",,,,,,
"We are tracking even better now on Google for &#039;Studio Finder&#039;. We are TOP of page 1.",,,,,,
"So... we&#039;d love all profiles to look awesome. :-)",,,,,,
"You can now add a banner picture to your profile.",,,,,,
"If you&#039;ve not updated for a while it&#039;s even easier.",,,,,,
"By clicking the new &#039;PROFILE CREATOR&#039; it allows you an easy way to add to your profile.",,,,,,
"The App is also changing so lookout for an update arriving soon too.",,,,,,
"iOS",,,,,,
"https://itunes.apple.com/us/app/id1098248376",,,,,,
"Android",,,,,,
"https://play.google.com/store/apps/details?id=com.guy.studiofinder",,,,,,
"Thank you for being part of Studio Finder.",,,,,,
"Best wishes",,,,,,
"Guy &amp; Dunc","2017-05-16 13:28:15","1","0",,,
"2435","1","1848","Hey",,,
"Thanks to your feedback, Studio Finder is having a design update.",,,,,,
"https://voiceoverstudiofinder.com",,,,,,
"SEO NEWS...",,,,,,
"We are tracking even better now on Google for &#039;Studio Finder&#039;. We are TOP of page 1.",,,,,,
"If you have a website but not getting hits, you should be here.",,,,,,
"PROFILES...",,,,,,
"We&#039;d love your profile to look awesome. So...",,,,,,
"You can now add a banner picture to your profile.",,,,,,
"Free accounts can now add even more pictures",,,,,,
"The text limit has been increased (not too much. keep it simple!)",,,,,,
"All accounts can show Source Connect NOW on their profile.",,,,,,
"If you&#039;ve not updated for a while it&#039;s even easier.",,,,,,
"By clicking the new &#039;PROFILE CREATOR&#039; it allows you an easy way to add to your profile.",,,,,,
"The App is also changing so lookout for an update arriving soon too.",,,,,,
"iOS",,,,,,
"https://itunes.apple.com/us/app/id1098248376",,,,,,
"Android",,,,,,
"https://play.google.com/store/apps/details?id=com.guy.studiofinder",,,,,,
"Also, if you&#039;d like to help support the site, premium accounts on offer!",,,,,,
"2 years for &pound;25 or $32",,,,,,
"Use promo code: summer17",,,,,,
"Thank you again for being part of Studio Finder.",,,,,,
"Best wishes",,,,,,
"Guy &amp; Dunc","2017-05-16 13:34:39","1","0",,,
"2436","1","1848","Hey",,,
"Thanks to your feedback, Studio Finder is having a design update.",,,,,,
"https://voiceoverstudiofinder.com",,,,,,
"SEO NEWS...",,,,,,
"We are tracking even better now on Google for &#039;Studio Finder&#039;. We are TOP of page 1.",,,,,,
"WHY JOIN?",,,,,,
"Happy to hire your studio? No 3rd party. You decide if your available.",,,,,,
"If you have a website but not getting hits, get listed here!",,,,,,
"PROFILES UPDATE...",,,,,,
"You can now add a banner picture to your profile.",,,,,,
"Free accounts can now add even more studio and kit pictures",,,,,,
"The text limit has been increased  (not too much. keep it simple!)",,,,,,
"All accounts can show Source Connect NOW on their profile.",,,,,,
"PROFILE CREATOR...",,,,,,
"If you&#039;ve not updated for a while it&#039;s even easier.",,,,,,
"The new &#039;PROFILE CREATOR&#039; is a step by step way to add to your profile.",,,,,,
"The App is also changing so lookout for an update arriving soon too.",,,,,,
"iOS",,,,,,
"https://itunes.apple.com/us/app/id1098248376",,,,,,
"Android",,,,,,
"https://play.google.com/store/apps/details?id=com.guy.studiofinder",,,,,,
"Also, if you&#039;d like to help support the site, premium accounts are on offer!",,,,,,
"2 years for &pound;25 or $32",,,,,,
"Use promo code: summer17",,,,,,
"Thank you again for being part of Studio Finder.",,,,,,
"Best wishes",,,,,,
"Guy &amp; Dunc","2017-05-16 13:39:58","1","0",,,
"2437","1","1848","Hey",,,
"Thanks to your feedback, Studio Finder is having a design update.",,,,,,
"https://voiceoverstudiofinder.com",,,,,,
"SEO NEWS...",,,,,,
"We are tracking even better now on Google for &#039;Studio Finder&#039;. We are TOP of page 1.",,,,,,
"If you have a website but not getting hits, you should be here.",,,,,,
"LOGIN...",,,,,,
"You now sign up with Twitter, Facebook or Google+.",,,,,,
"Already a member? Link your account to social media in settings.",,,,,,
"PROFILES...",,,,,,
"We&#039;d love your profile to look awesome. So...",,,,,,
"You can now add a new banner picture to your profile.",,,,,,
"Free accounts can now add even more pictures",,,,,,
"The text limit has been increased (not too much. keep it simple!)",,,,,,
"All accounts can show Source Connect NOW on their profile.",,,,,,
"If you&#039;ve not updated for a while it&#039;s even easier.",,,,,,
"By clicking the new &#039;PROFILE CREATOR&#039; it allows you an easy way to add to your profile.",,,,,,
"The App is also changing so lookout for an update arriving soon too.",,,,,,
"iOS",,,,,,
"https://itunes.apple.com/us/app/id1098248376",,,,,,
"Android",,,,,,
"https://play.google.com/store/apps/details?id=com.guy.studiofinder",,,,,,
"Also, if you&#039;d like to help support the site, premium accounts on offer!",,,,,,
"2 years for &pound;25 or $32",,,,,,
"Use promo code: summer17",,,,,,
"https://voiceoverstudiofinder.com/upgrade",,,,,,
"Thank you again for being part of Studio Finder.",,,,,,
"Best wishes",,,,,,
"Guy &amp; Dunc","2017-05-16 14:00:56","1","0",,,
"2438","1","1848","Hey",,,
"Thanks to your feedback, Studio Finder is having a design update.",,,,,,
"https://voiceoverstudiofinder.com",,,,,,
"SEO NEWS...",,,,,,
"We are tracking even better now on Google for &#039;Studio Finder&#039;. We are TOP of page 1.",,,,,,
"If you have a website but not getting hits, you should get listed.",,,,,,
"LOGIN...",,,,,,
"You now sign up with Twitter, Facebook or Google+.",,,,,,
"Already a member? Link your account to social media in settings.",,,,,,
"PROFILES...",,,,,,
"We&#039;d love your profile to look awesome. So...",,,,,,
"* You can now add a New banner picture to your profile.",,,,,,
"* Free accounts can now add even more pictures",,,,,,
"* The text limit has been increased (not too much. keep it simple!)",,,,,,
"* All accounts can show Source Connect NOW on their profile.",,,,,,
"PROFILE CREATOR",,,,,,
"If you&#039;ve not updated for a while it&#039;s even easier.",,,,,,
"The new &#039;PROFILE CREATOR&#039; allows you an easy way to build your profile.",,,,,,
"THE APPS",,,,,,
"Another design change, so lookout for the update arriving soon.",,,,,,
"iOS",,,,,,
"https://itunes.apple.com/us/app/id1098248376",,,,,,
"Android",,,,,,
"https://play.google.com/store/apps/details?id=com.guy.studiofinder",,,,,,
"DONATE? ;-)",,,,,,
"Also, if you&#039;d like to help support the site, premium accounts on offer!",,,,,,
"2 years for &pound;25 or $32",,,,,,
"Use promo code: summer17",,,,,,
"https://voiceoverstudiofinder.com/upgrade",,,,,,
"Thank you again for being part of Studio Finder.",,,,,,
"Best wishes",,,,,,
"Guy &amp; Dunc","2017-05-16 14:05:09","1","0",,,
"2439","1","1848","Hey",,,
"Thanks to your feedback, Studio Finder is having a design update.",,,,,,
"https://voiceoverstudiofinder.com",,,,,,
"SEO NEWS...",,,,,,
"We are tracking even better on Google for the term &#039;Studio Finder&#039;. We are TOP of page 1. ","2017-05-16 14:08:44","1","0",,,
"2440","1","1848","Hey ",,,
"Thanks to your feedback, Studio Finder is having a design update.",,,,,,
"https://voiceoverstudiofinder.com",,,,,,
"SEO NEWS...",,,,,,
"We are tracking even better on Google for the term &#039;Studio Finder&#039;. We are TOP of page 1. ","2017-05-16 14:11:19","1","0",,,
"2441","1","1","xxxx","2017-05-18 21:42:44","1","0"
"2442","1","2377","Good to have you join. It would be great if you can add a header and maybe some more pictures. :-)",,,
"Admin","2017-05-25 16:27:10","0","0",,,
"2443","1","1848","Dear Voiceover Studio Finder subscribers,",,,
"Our friends at https://www.thevoiceovernetwork.co.uk have a very special event coming up and have given us a discount on tickets to their BIG VOND Summer Party 2017.",,,,,,
"On 16th June 2017, the voiceover elite will descend upon a beautiful garden in Central London to celebrate this wonderful industry we are all a part of.",,,,,,
"A night to enjoy great company, delicious BBQ food and tasty summer drinks, fantastic entertainment, raising money for a very special charity all in a stunning venue.",,,,,,
"@NetworkVO for #VONDSummer16",,,,,,
"The VoiceOver Network events are legendary within the voiceover world.",,,,,,
"Food will include a delicious BBQ with salads, desserts and more. ",,,,,,
"Entertainment will include live music and we will also have a top DJ joining us. He has played at some of the biggest clubs in London including Ministry of Sound.",,,,,,
"Plus we will have some surprises thrown in too!!!!!",,,,,,
"Plus this event ticket and all expenses associated with it can be claimed against tax as it&#039;s a work and industry event!",,,,,,
"Details:",,,,,,
"&bull; Venue - Grange White Hall Hotel, 2-5 Montague Street, Bloomsbury,",,,,,,
"London WC1B 5BU MAP",,,,,,
"&bull; Time - 18:00 till late",,,,,,
"&bull; Food and at least 1 drink included in the ticket",,,,,,
"&bull; Tickets: &pound;89 Non-members / &pound;59 members",,,,,,
"The SPECIAL offer for Voiceover Studio Finder Subscribers is: &pound;69",,,,,,
"This is a limited-time offer and ends in 24 hours or while tickets last.",,,,,,
"This is a fantastic opportunity to meet fellow voiceover actors, network with top-industry producers, directors, casting directors, agents and enjoy some BBQ food and drink, live entertainment all in a beautiful outdoor garden located in the heart of London.",,,,,,
"BOOK HERE",,,,,,
"https://www.thevoiceovernetwork.co.uk/events/public/the-voiceover-network-big-summer-party-2017","2017-05-26 19:46:31","1","0",,,
"2444","1","1848","Dear Voiceover Studio Finder subscribers,",,,
"Our friends at https://www.thevoiceovernetwork.co.uk have a very special event coming up and have given us a discount on tickets to their...",,,,,,
"BIG VOND Summer Party 2017.",,,,,,
"On 16th June 2017, the voiceover elite will descend upon a beautiful garden in Central London to celebrate this wonderful industry we are all a part of.",,,,,,
"A night to enjoy great company, delicious BBQ food and tasty summer drinks, fantastic entertainment, raising money for a very special charity all in a stunning venue.",,,,,,
"The VoiceOver Network events are legendary within the voiceover world.",,,,,,
"Food will include a delicious BBQ with salads, desserts and more. ",,,,,,
"Entertainment will include live music and we will also have a top DJ joining us. He has played at some of the biggest clubs in London including Ministry of Sound.",,,,,,
"Plus we will have some surprises thrown in too!!!!!",,,,,,
"Plus this event ticket and all expenses associated with it can be claimed against tax as it&#039;s a work and industry event!",,,,,,
"Details:",,,,,,
"&bull; Venue - Grange White Hall Hotel, 2-5 Montague Street, Bloomsbury,",,,,,,
"London WC1B 5BU MAP",,,,,,
"&bull; Time - 18:00 till late",,,,,,
"&bull; Food and at least 1 drink included in the ticket",,,,,,
"&bull; Tickets: &pound;89 Non-members / &pound;59 members",,,,,,
"The SPECIAL OFFER for Voiceover Studio Finder Subscribers is: &pound;69",,,,,,
"This is a limited-time offer and ends in 24 hours or while tickets last.",,,,,,
"This is a fantastic opportunity to meet fellow voiceover actors, network with top-industry producers, directors, casting directors, agents and enjoy some BBQ food and drink, live entertainment all in a beautiful outdoor garden located in the heart of London.",,,,,,
"BOOK HERE",,,,,,
"https://www.thevoiceovernetwork.co.uk/events/public/the-voiceover-network-big-summer-party-2017",,,,,,
"@NetworkVO for #VONDSummer16","2017-05-26 19:47:59","1","0",,,
"2445","1","1","Dear Voiceover Studio Finder subscribers,",,,
"Our friends at https://www.thevoiceovernetwork.co.uk have a very special event coming up and have given us a DISCOUNT TICKETS to the...",,,,,,
"BIG VOND Summer Party 2017.",,,,,,
"On 16th June 2017, the voiceover elite will descend upon a beautiful garden in Central London to celebrate this wonderful industry we are all a part of.",,,,,,
"A night to enjoy great company, delicious BBQ food and tasty summer drinks, fantastic entertainment, raising money for a very special charity all in a stunning venue.",,,,,,
"The VoiceOver Network events are legendary within the voiceover world.",,,,,,
"Food will include a delicious BBQ with salads, desserts and more. ",,,,,,
"Entertainment will include live music and we will also have a top DJ joining us. He has played at some of the biggest clubs in London including Ministry of Sound.",,,,,,
"Plus we will have some surprises thrown in too!!!!!",,,,,,
"Plus this event ticket and all expenses associated with it can be claimed against tax as it&#039;s a work and industry event!",,,,,,
"Details:",,,,,,
"&bull; Venue - Grange White Hall Hotel, 2-5 Montague Street, Bloomsbury,",,,,,,
"London WC1B 5BU MAP",,,,,,
"&bull; Time - 18:00 till late",,,,,,
"&bull; Food and at least 1 drink included in the ticket",,,,,,
"&bull; Tickets: &pound;89 Non-members / &pound;59 members",,,,,,
"The SPECIAL OFFER for Voiceover Studio Finder Subscribers is: &pound;69",,,,,,
"This is a limited-time offer and ends in 24 hours or while tickets last.",,,,,,
"This is a fantastic opportunity to meet fellow voiceover actors, network with top-industry producers, directors, casting directors, agents and enjoy some BBQ food and drink, live entertainment all in a beautiful outdoor garden located in the heart of London.",,,,,,
"BOOK HERE",,,,,,
"https://www.thevoiceovernetwork.co.uk/events/public/the-voiceover-network-big-summer-party-2017",,,,,,
"@NetworkVO for #VONDSummer16","2017-05-26 19:49:41","1","0",,,
"2446","1","1848","Dear Voiceover Studio Finder subscribers,",,,
"Our friends at https://www.thevoiceovernetwork.co.uk have a very special event coming up and have given us a DISCOUNT TICKETS to the...",,,,,,
"BIG VOND Summer Party 2017.",,,,,,
"On 16th June 2017, the voiceover elite will descend upon a beautiful garden in Central London to celebrate this wonderful industry we are all a part of.",,,,,,
"A night to enjoy great company, delicious BBQ food and tasty summer drinks, fantastic entertainment, raising money for a very special charity all in a stunning venue.",,,,,,
"The VoiceOver Network events are legendary within the voiceover world.",,,,,,
"Food will include a delicious BBQ with salads, desserts and more. ",,,,,,
"Entertainment will include live music and we will also have a top DJ joining us. He has played at some of the biggest clubs in London including Ministry of Sound.",,,,,,
"Plus we will have some surprises thrown in too!!!!!",,,,,,
"Plus this event ticket and all expenses associated with it can be claimed against tax as it&#039;s a work and industry event!",,,,,,
"Details:",,,,,,
"&bull; Venue - Grange White Hall Hotel, 2-5 Montague Street, Bloomsbury,",,,,,,
"London WC1B 5BU MAP",,,,,,
"&bull; Time - 18:00 till late",,,,,,
"&bull; Food and at least 1 drink included in the ticket",,,,,,
"&bull; Tickets: &pound;89 Non-members / &pound;59 members",,,,,,
"The SPECIAL OFFER for Voiceover Studio Finder Subscribers is: &pound;69",,,,,,
"This is a limited-time offer and ends in 24 hours or while tickets last.",,,,,,
"This is a fantastic opportunity to meet fellow voiceover actors, network with top-industry producers, directors, casting directors, agents and enjoy some BBQ food and drink, live entertainment all in a beautiful outdoor garden located in the heart of London.",,,,,,
"BOOK HERE",,,,,,
"https://www.thevoiceovernetwork.co.uk/events/public/the-voiceover-network-big-summer-party-2017",,,,,,
"@NetworkVO for #VONDSummer16","2017-05-26 19:49:41","1","0",,,
"2447","1","1851","Dear Voiceover Studio Finder subscribers,",,,
"Our friends at https://www.thevoiceovernetwork.co.uk have a very special event coming up and have given us a DISCOUNT TICKETS to the...",,,,,,
"BIG VOND Summer Party 2017.",,,,,,
"On 16th June 2017, the voiceover elite will descend upon a beautiful garden in Central London to celebrate this wonderful industry we are all a part of.",,,,,,
"A night to enjoy great company, delicious BBQ food and tasty summer drinks, fantastic entertainment, raising money for a very special charity all in a stunning venue.",,,,,,
"The VoiceOver Network events are legendary within the voiceover world.",,,,,,
"Food will include a delicious BBQ with salads, desserts and more. ",,,,,,
"Entertainment will include live music and we will also have a top DJ joining us. He has played at some of the biggest clubs in London including Ministry of Sound.",,,,,,
"Plus we will have some surprises thrown in too!!!!!",,,,,,
"Plus this event ticket and all expenses associated with it can be claimed against tax as it&#039;s a work and industry event!",,,,,,
"Details:",,,,,,
"&bull; Venue - Grange White Hall Hotel, 2-5 Montague Street, Bloomsbury,",,,,,,
"London WC1B 5BU MAP",,,,,,
"&bull; Time - 18:00 till late",,,,,,
"&bull; Food and at least 1 drink included in the ticket",,,,,,
"&bull; Tickets: &pound;89 Non-members / &pound;59 members",,,,,,
"The SPECIAL OFFER for Voiceover Studio Finder Subscribers is: &pound;69",,,,,,
"This is a limited-time offer and ends in 24 hours or while tickets last.",,,,,,
"This is a fantastic opportunity to meet fellow voiceover actors, network with top-industry producers, directors, casting directors, agents and enjoy some BBQ food and drink, live entertainment all in a beautiful outdoor garden located in the heart of London.",,,,,,
"BOOK HERE",,,,,,
"https://www.thevoiceovernetwork.co.uk/events/public/the-voiceover-network-big-summer-party-2017",,,,,,
"@NetworkVO for #VONDSummer16","2017-05-26 19:49:41","0","0",,,
"2448","1","1852","Dear Voiceover Studio Finder subscribers,",,,
"Our friends at https://www.thevoiceovernetwork.co.uk have a very special event coming up and have given us a DISCOUNT TICKETS to the...",,,,,,
"BIG VOND Summer Party 2017.",,,,,,
"On 16th June 2017, the voiceover elite will descend upon a beautiful garden in Central London to celebrate this wonderful industry we are all a part of.",,,,,,
"A night to enjoy great company, delicious BBQ food and tasty summer drinks, fantastic entertainment, raising money for a very special charity all in a stunning venue.",,,,,,
"The VoiceOver Network events are legendary within the voiceover world.",,,,,,
"Food will include a delicious BBQ with salads, desserts and more. ",,,,,,
"Entertainment will include live music and we will also have a top DJ joining us. He has played at some of the biggest clubs in London including Ministry of Sound.",,,,,,
"Plus we will have some surprises thrown in too!!!!!",,,,,,
"Plus this event ticket and all expenses associated with it can be claimed against tax as it&#039;s a work and industry event!",,,,,,
"Details:",,,,,,
"&bull; Venue - Grange White Hall Hotel, 2-5 Montague Street, Bloomsbury,",,,,,,
"London WC1B 5BU MAP",,,,,,
"&bull; Time - 18:00 till late",,,,,,
"&bull; Food and at least 1 drink included in the ticket",,,,,,
"&bull; Tickets: &pound;89 Non-members / &pound;59 members",,,,,,
"The SPECIAL OFFER for Voiceover Studio Finder Subscribers is: &pound;69",,,,,,
"This is a limited-time offer and ends in 24 hours or while tickets last.",,,,,,
"This is a fantastic opportunity to meet fellow voiceover actors, network with top-industry producers, directors, casting directors, agents and enjoy some BBQ food and drink, live entertainment all in a beautiful outdoor garden located in the heart of London.",,,,,,
"BOOK HERE",,,,,,
"https://www.thevoiceovernetwork.co.uk/events/public/the-voiceover-network-big-summer-party-2017",,,,,,
"@NetworkVO for #VONDSummer16","2017-05-26 19:49:41","0","0",,,
"2449","1","1854","Dear Voiceover Studio Finder subscribers,",,,
"Our friends at https://www.thevoiceovernetwork.co.uk have a very special event coming up and have given us a DISCOUNT TICKETS to the...",,,,,,
"BIG VOND Summer Party 2017.",,,,,,
"On 16th June 2017, the voiceover elite will descend upon a beautiful garden in Central London to celebrate this wonderful industry we are all a part of.",,,,,,
"A night to enjoy great company, delicious BBQ food and tasty summer drinks, fantastic entertainment, raising money for a very special charity all in a stunning venue.",,,,,,
"The VoiceOver Network events are legendary within the voiceover world.",,,,,,
"Food will include a delicious BBQ with salads, desserts and more. ",,,,,,
"Entertainment will include live music and we will also have a top DJ joining us. He has played at some of the biggest clubs in London including Ministry of Sound.",,,,,,
"Plus we will have some surprises thrown in too!!!!!",,,,,,
"Plus this event ticket and all expenses associated with it can be claimed against tax as it&#039;s a work and industry event!",,,,,,
"Details:",,,,,,
"&bull; Venue - Grange White Hall Hotel, 2-5 Montague Street, Bloomsbury,",,,,,,
"London WC1B 5BU MAP",,,,,,
"&bull; Time - 18:00 till late",,,,,,
"&bull; Food and at least 1 drink included in the ticket",,,,,,
"&bull; Tickets: &pound;89 Non-members / &pound;59 members",,,,,,
"The SPECIAL OFFER for Voiceover Studio Finder Subscribers is: &pound;69",,,,,,
"This is a limited-time offer and ends in 24 hours or while tickets last.",,,,,,
"This is a fantastic opportunity to meet fellow voiceover actors, network with top-industry producers, directors, casting directors, agents and enjoy some BBQ food and drink, live entertainment all in a beautiful outdoor garden located in the heart of London.",,,,,,
"BOOK HERE",,,,,,
"https://www.thevoiceovernetwork.co.uk/events/public/the-voiceover-network-big-summer-party-2017",,,,,,
"@NetworkVO for #VONDSummer16","2017-05-26 19:49:41","0","0",,,
"2451","1","1856","Dear Voiceover Studio Finder subscribers,",,,
"Our friends at https://www.thevoiceovernetwork.co.uk have a very special event coming up and have given us a DISCOUNT TICKETS to the...",,,,,,
"BIG VOND Summer Party 2017.",,,,,,
"On 16th June 2017, the voiceover elite will descend upon a beautiful garden in Central London to celebrate this wonderful industry we are all a part of.",,,,,,
"A night to enjoy great company, delicious BBQ food and tasty summer drinks, fantastic entertainment, raising money for a very special charity all in a stunning venue.",,,,,,
"The VoiceOver Network events are legendary within the voiceover world.",,,,,,
"Food will include a delicious BBQ with salads, desserts and more. ",,,,,,
"Entertainment will include live music and we will also have a top DJ joining us. He has played at some of the biggest clubs in London including Ministry of Sound.",,,,,,
"Plus we will have some surprises thrown in too!!!!!",,,,,,
"Plus this event ticket and all expenses associated with it can be claimed against tax as it&#039;s a work and industry event!",,,,,,
"Details:",,,,,,
"&bull; Venue - Grange White Hall Hotel, 2-5 Montague Street, Bloomsbury,",,,,,,
"London WC1B 5BU MAP",,,,,,
"&bull; Time - 18:00 till late",,,,,,
"&bull; Food and at least 1 drink included in the ticket",,,,,,
"&bull; Tickets: &pound;89 Non-members / &pound;59 members",,,,,,
"The SPECIAL OFFER for Voiceover Studio Finder Subscribers is: &pound;69",,,,,,
"This is a limited-time offer and ends in 24 hours or while tickets last.",,,,,,
"This is a fantastic opportunity to meet fellow voiceover actors, network with top-industry producers, directors, casting directors, agents and enjoy some BBQ food and drink, live entertainment all in a beautiful outdoor garden located in the heart of London.",,,,,,
"BOOK HERE",,,,,,
"https://www.thevoiceovernetwork.co.uk/events/public/the-voiceover-network-big-summer-party-2017",,,,,,
"@NetworkVO for #VONDSummer16","2017-05-26 19:49:41","0","0",,,
"2452","1","1863","Dear Voiceover Studio Finder subscribers,",,,
"Our friends at https://www.thevoiceovernetwork.co.uk have a very special event coming up and have given us a DISCOUNT TICKETS to the...",,,,,,
"BIG VOND Summer Party 2017.",,,,,,
"On 16th June 2017, the voiceover elite will descend upon a beautiful garden in Central London to celebrate this wonderful industry we are all a part of.",,,,,,
"A night to enjoy great company, delicious BBQ food and tasty summer drinks, fantastic entertainment, raising money for a very special charity all in a stunning venue.",,,,,,
"The VoiceOver Network events are legendary within the voiceover world.",,,,,,
"Food will include a delicious BBQ with salads, desserts and more. ",,,,,,
"Entertainment will include live music and we will also have a top DJ joining us. He has played at some of the biggest clubs in London including Ministry of Sound.",,,,,,
"Plus we will have some surprises thrown in too!!!!!",,,,,,
"Plus this event ticket and all expenses associated with it can be claimed against tax as it&#039;s a work and industry event!",,,,,,
"Details:",,,,,,
